,Address,Area,Baths,Beds,Price
1617,"3801 39th St Nw Apt F84, Washington, DC 20016","1,286 sqft",1,2,$499k
1618,"1308 L St Se Ph 4, Washington, DC 20003","1,350 sqft",2,2,$800k
1619,"27 Rock Creek Church Rd Nw, Washington, DC 20011","1,505 sqft",2,3,$670k
1620,"435 Rhode Island Ave Nw, Washington, DC 20001","1,580 sqft",3,3,$798k
1621,"634 N Carolina Ave Se Apt A, Washington, DC 20003",629 sqft,1,1,$345k
1622,"123 Peabody St Nw, Washington, DC 20011","2,900 sqft",6.5,8,$694k
1623,"2706 Brentwood Rd Ne, Washington, DC 20018","2,432 sqft",4,4,$770k
1624,"3905 Highwood Ct Nw, Washington, DC 20007","2,800 sqft",3.5,4,$1.45m
1625,"4201 Cathedral Ave Nw Apt 1418e, Washington, DC 20016",555 sqft,1,N/A,$200k
1626,"2217 Hall Pl Nw, Washington, DC 20007","2,145 sqft",2.5,3,$1.10m
1627,"1420 N St Nw #t5, Washington, DC 20005","2,412 sqft",1,9,$999k
1628,"750 13th St Se, Washington, DC 20003",0.03 acres,2,3,$900k
1629,"2109 Fort Davis St Se Apt B, Washington, DC 20020",762 sqft,1,2,$115k
1630,"2801 New Mexico Ave Nw Apt 712, Washington, DC 20007","1,276 sqft",2,1,$479k
1631,"3900 Tunlaw Rd Nw Apt 512, Washington, DC 20007",800 sqft,1,1,$204k
1632,"2639 15th St Nw Apt B3, Washington, DC 20009",363 sqft,1,N/A,$219k
1633,"18 9th St Ne Apt 303, Washington, DC 20002",819 sqft,1,2,$505k
1634,"1613 Harvard St Nw Apt 403, Washington, DC 20009",420 sqft,1,N/A,$229k
1635,"1437 Rhode Island Ave Nw Apt 112, Washington, DC 20005","1,087 sqft",2,2,$649k
1636,"3883 Connecticut Ave Nw Apt 304, Washington, DC 20008","1,044 sqft",2,2,$619k
1637,"2425 L St Nw Apt 436, Washington, DC 20037","1,354 sqft",2,2,$1.15m
1638,"724 Faraday Pl Ne, Washington, DC 20017","1,200 sqft",2.5,2,$470k
1639,"4405 1st Pl Ne Apt 31, Washington, DC 20011",598 sqft,1,1,$190k
1640,"829 Quackenbos St Nw, Washington, DC 20011","1,904 sqft",1.5,3,$505k
1641,"28 50th St Ne, Washington, DC 20019","1,492 sqft",1,3,$299k
1642,"2424 18th St Nw Apt R2, Washington, DC 20009","4,430 sqft",3,3,$1.95m
1643,"251 8th St Ne, Washington, DC 20002","3,336 sqft",6,4,$1.60m
1644,"1114 Monroe St Nw, Washington, DC 20010",N/A,N/A,N/A,$1.82m
1645,"3906 1st St Se, Washington, DC 20032",600 sqft,4,4,$235k
1646,"1155 23rd St Nw Apt 8f, Washington, DC 20037",978 sqft,2,1,$849k
1647,"5304 Sherier Pl Nw, Washington, DC 20016","4,145 sqft",4.5,4,$1.80m
1648,"616 Delafield Pl Nw, Washington, DC 20011","2,083 sqft",4,4,$815k
1649,"414 53rd St Ne, Washington, DC 20019","1,701 sqft",4.5,6,$325k
1650,"226 12th Pl Ne, Washington, DC 20002","1,568 sqft",2,3,$799k
1651,"609 Newton Pl Nw #b, Washington, DC 20010","1,200 sqft",3,2,$484k
1652,"2305 Woodridge St Ne, Washington, DC 20018","1,774 sqft",3.5,6,$765k
1653,"1608 C St Ne, Washington, DC 20002","1,152 sqft",3,5,$480k
1654,"1457 Park Rd Nw Apt 202, Washington, DC 20010",973 sqft,1,2,$440k
1655,"5 Brandywine St Se Apt 32, Washington, DC 20032",750 sqft,1,1,$50k
1656,"501 Regent Pl Ne, Washington, DC 20017","2,160 sqft",4,3,$840k
1657,"1508 Mississippi Ave Se, Washington, DC 20032","2,900 sqft",4.5,6,$675k
1658,"5315 8th St Nw, Washington, DC 20011","2,570 sqft",4,4,$825k
1659,"3607 14th St Nw, Washington, DC 20010","2,598 sqft",3,6,$1.50m
1660,"301 H St Ne #401, Washington, DC 20002",792 sqft,2,2,$649k
1661,"1327 Spring Rd Nw #1, Washington, DC 20010","1,900 sqft",3,3,$850k
1662,"1615 Q St Nw Apt 908, Washington, DC 20009",735 sqft,1,2,$519k
1663,"246 Nicholson St Ne, Washington, DC 20011","1,240 sqft",2,2,$459k
1664,"5419 4th St Nw, Washington, DC 20011","1,511 sqft",2.5,3,$650k
1665,"1300 N St Nw Apt 103, Washington, DC 20005",700 sqft,1,1,$429k
1666,"1177 22nd St Nw Unit 8e, Washington, DC 20037","2,232 sqft",3,3,$2.57m
1667,"1442 T St Nw, Washington, DC 20009","1,194 sqft",1,1,$1.08m
1668,"3 Rhode Island Ave Ne, Washington, DC 20002","2,459 sqft",3,3,$849k
1669,"5049 N Capitol St Ne, Washington, DC 20011","1,728 sqft",2,3,$595k
1670,"1221 Hamilton St Ne, Washington, DC 20011",0.08 acres,3,3,$415k
1671,"1404 Foxhall Rd Nw, Washington, DC 20007","2,450 sqft",4,4,$970k
1672,"2801 Adams Mill Rd Nw Apt 104, Washington, DC 20009",410 sqft,1,1,$220k
1673,"915 E St Nw Apt 1011, Washington, DC 20004",748 sqft,1,1,$475k
1674,"5516 4th St Nw, Washington, DC 20011","1,798 sqft",4,3,$739k
1675,"615 14th Pl Ne, Washington, DC 20002","1,096 sqft",2,2,$675k
1676,"2725 Connecticut Ave Nw Apt 604, Washington, DC 20008","1,120 sqft",2,2,$569k
1677,"1818 Burke St Se, Washington, DC 20003","1,905 sqft",3.5,4,$1.05m
1678,"4323 River Rd Nw, Washington, DC 20016","1,964 sqft",2.5,4,$795k
1679,"3618 Connecticut Ave Nw Apt 103, Washington, DC 20008",N/A,1,1,$270k
1680,"603 Jefferson St Ne, Washington, DC 20011","1,796 sqft",3.5,3,$580k
1681,"5317 5th St Nw, Washington, DC 20011","1,136 sqft",3.5,3,$715k
1682,"5415 E Capitol St Se, Washington, DC 20019","1,422 sqft",2,4,$190k
1683,"616 E St Nw Apt 452, Washington, DC 20004","1,214 sqft",3,2,$670k
1684,"1232 Montello Ave Ne, Washington, DC 20002",900 sqft,1,2,$425k
1685,"Elvans Rd Se, Washington, DC 20020","10,309 sqft",N/A,N/A,$299k
1686,"2711 14th St Ne, Washington, DC 20018","1,223 sqft",2.5,3,$665k
1687,"730 24th St Nw Apt 816, Washington, DC 20037",525 sqft,1,N/A,$250k
1688,"1629 L St Ne #302, Washington, DC 20002",568 sqft,1,1,$286k
1689,"1330 New Hampshire Ave Nw #58, Washington, DC 20036",N/A,N/A,N/A,$60k
1690,"1461 Chapin St Nw #2, Washington, DC 20009",N/A,2,2,$849k
1691,"1461 Chapin St Nw #3, Washington, DC 20009",N/A,2,2,$899k
1692,"4439 7th St Ne, Washington, DC 20017","1,408 sqft",2,4,$345k
1693,"18 9th St Ne Apt 206, Washington, DC 20002",352 sqft,1,N/A,$264k
1694,"1440 N St Nw Apt 704, Washington, DC 20005",411 sqft,1,N/A,$230k
1695,"4325 Halley Ter Se Apt 102, Washington, DC 20032",753 sqft,2,2,$215k
1696,"2328 Champlain St Nw Apt 412, Washington, DC 20009","2,005 sqft",3,2,$1.20m
1697,"1227 42nd St Se #29, Washington, DC 20020","1,678 sqft",3,3,$270k
1698,"322 Adolf Cluss Ct Se #n, Washington, DC 20003","2,700 sqft",3.5,3,$1.75m
1699,"7437 8th St Nw, Washington, DC 20012","1,748 sqft",2.5,3,$565k
1700,"3241 Woodland Dr Nw, Washington, DC 20008","5,650 sqft",6,7,$3.10m
1701,"1341 Clifton St Nw Apt 305, Washington, DC 20009",752 sqft,1,2,$400k
1702,"1177 22nd St Nw Unit 6l, Washington, DC 20037","1,401 sqft",2,2,$1.42m
1703,"1801 Clydesdale Pl Nw Apt 623, Washington, DC 20009",N/A,N/A,N/A,$245k
1704,"4436 Reservoir Rd Nw, Washington, DC 20007","1,752 sqft",2,4,$859k
1705,"2206 Foxboro Pl Nw, Washington, DC 20007","4,364 sqft",6,5,$1.60m
1706,"2725 39th St Nw Apt 510, Washington, DC 20007",977 sqft,1,2,$429k
1707,"4444 Connecticut Ave Nw Apt 102, Washington, DC 20008",869 sqft,1,2,$409k
1708,"3900 Watson Pl Nw #b-1c, Washington, DC 20016","1,250 sqft",2,2,$440k
1709,"4914 3rd St Nw, Washington, DC 20011","2,505 sqft",3.5,4,$725k
1710,"1015 33rd St Nw Apt 402, Washington, DC 20007","1,605 sqft",2,2,$825k
1711,"4603 Macarthur Blvd Nw Unit B, Washington, DC 20007","1,190 sqft",2.5,2,$635k
1712,"1512 31st St Nw, Washington, DC 20007",969 sqft,3.5,4,$1.90m
1713,"1725 New Hampshire Ave Nw Apt 503, Washington, DC 20009",352 sqft,1,N/A,$270k
1714,"1015 33rd St Nw Apt 509, Washington, DC 20007","1,700 sqft",2,2,$1.10m
1715,"701 56th Pl Ne, Washington, DC 20019","1,092 sqft",1,3,$80k
1716,"2440 16th St Nw Apt 404, Washington, DC 20009",420 sqft,1,N/A,$240k
1717,"4300 Reno Rd Nw, Washington, DC 20008","2,070 sqft",3,3,$999k
1718,"5219 5th St Nw, Washington, DC 20011","1,425 sqft",4,3,$700k
1719,"4711 9th St Nw, Washington, DC 20011","1,856 sqft",4,3,$750k
1720,"460 New York Ave Nw Unit 607, Washington, DC 20001","1,142 sqft",2,3,$740k
1721,"340 Elm St Nw, Washington, DC 20001","1,585 sqft",3,3,$750k
1722,"4000 Cathedral Ave Nw #136/137b, Washington, DC 20016","1,500 sqft",2,2,$569k
1723,"1405 Ridgeview Way Nw, Washington, DC 20007","4,014 sqft",5,4,$1.90m
1724,"3700 30th Pl Ne, Washington, DC 20018","2,784 sqft",1.5,3,$446k
1725,"3028 Wisconsin Ave Nw Apt 402, Washington, DC 20016",900 sqft,2,2,$475k
1726,"35 U St Ne, Washington, DC 20002","2,600 sqft",4,5,$1.23m
1727,"4301 Massachusetts Ave Nw Apt A314, Washington, DC 20016","1,243 sqft",2,2,$375k
1728,"4041 7th St Ne Apt 3, Washington, DC 20017","1,100 sqft",2,3,$635k
1729,"20232025 Benning Rd Ne, Washington, DC 20002",0.09 acres,1,3,$5.00m
1730,"2023 2025 Benning Rd Ne, Washington, DC 20002",0.09 acres,1,3,$5.00m
1731,"1315 Farragut St Nw, Washington, DC 20011","2,000 sqft",3,4,$955k
1732,"616 E St Nw Apt 1150, Washington, DC 20004","1,740 sqft",4,3,$1.03m
1733,"1006 Monroe St Nw, Washington, DC 20010","1,388 sqft",2,5,$683k
1734,"2212 Bryan Pl Se, Washington, DC 20020","1,434 sqft",1,3,$410k
1735,"3250 N St Nw #2-c, Washington, DC 20007","1,130 sqft",2.5,2,$799k
1736,"1247 Meigs Pl Ne, Washington, DC 20002","2,931 sqft",N/A,N/A,$850k
1737,"1150 K St Nw Apt 405, Washington, DC 20005","1,054 sqft",2,2,$652k
1738,"1101 3rd St Sw Apt 103, Washington, DC 20024",528 sqft,1,1,$315k
1739,"1240 Evarts St Ne, Washington, DC 20018","1,516 sqft",2.5,3,$699k
1740,"4120 14th St Nw Apt 34, Washington, DC 20011",559 sqft,1,1,$170k
1741,"3431 23rd St Se, Washington, DC 20020","1,684 sqft",3.5,4,$495k
1742,"3420 16th St Nw Apt 106, Washington, DC 20010","1,139 sqft",2,2,$529k
1743,"3754 Mckinley St Nw, Washington, DC 20015","3,156 sqft",7,10,$1.10m
1744,"5021 8th St Nw, Washington, DC 20011",0.03 acres,2,3,$569k
1745,"7524 Eastern Ave Nw, Washington, DC 20012","1,388 sqft",1.5,3,$547k
1746,"2109 10th St Nw Apt 202, Washington, DC 20001","1,034 sqft",1,2,$624k
1747,"5410 Connecticut Ave Nw Apt 707, Washington, DC 20015",829 sqft,1,1,$339k
1748,"3033 New Mexico Ave Nw Apt 207, Washington, DC 20016",722 sqft,1,1,$270k
1749,"3114 Wisconsin Ave Nw Apt 103, Washington, DC 20016",740 sqft,1,1,$252k
1750,"5315 Connecticut Ave Nw Apt 410, Washington, DC 20015",379 sqft,1,N/A,$210k
1751,"1870 Wyoming Ave Nw #402, Washington, DC 20009","2,200 sqft",2,3,$965k
1752,"3307 Loud Pl Se, Washington, DC 20019","1,337 sqft",3,3,$375k
1753,"1727 Massachusetts Ave Nw #203, Washington, DC 20036",358 sqft,1,N/A,$265k
1754,"910 G St Se, Washington, DC 20003","1,268 sqft",2,2,$875k
1755,"1223 16th St Ne, Washington, DC 20002","1,500 sqft",4,4,$615k
1756,"3109 Naylor Rd Se Apt 302, Washington, DC 20020",848 sqft,1,2,$91k
1757,"26 New York Ave Nw, Washington, DC 20001","1,941 sqft",1,4,$550k
1758,"2500 Q St Nw Apt 512, Washington, DC 20007","1,014 sqft",1,1,$400k
1759,"1 Scott Cir Nw #604, Washington, DC 20036",518 sqft,1,N/A,$275k
1760,"800 4th St Sw Apt N425, Washington, DC 20024",517 sqft,1,N/A,$245k
1761,"1410 C St Ne, Washington, DC 20002","1,824 sqft",2,3,$675k
1762,"1922 Calvert St Nw, Washington, DC 20009",0.05 acres,4,6,$1.65m
1763,"1235 16th St Ne, Washington, DC 20002","1,184 sqft",1.5,2,$435k
1764,"2425 L St Nw Apt 217, Washington, DC 20037",729 sqft,1,1,$529k
1765,"1615 Q St Nw Apt 313, Washington, DC 20009",485 sqft,1,1,$350k
1766,"1438 Columbia Rd Nw Apt 206, Washington, DC 20009",524 sqft,1,1,$350k
1767,"1601 Brentwood Rd Ne, Washington, DC 20018","2,221 sqft",2.5,3,$699k
1768,"3244 Grace St Nw #3244, Washington, DC 20007",950 sqft,1,2,$615k
1769,"1450 Church St Nw Apt 104, Washington, DC 20005","1,427 sqft",2,2,$935k
1770,"3224 Cleveland Ave Nw, Washington, DC 20008","5,476 sqft",7,8,$1.95m
1771,"1450 Church St Nw #104, Washington, DC 20005","1,427 sqft",2,2,$935k
1772,"2900 K St Nw #607, Washington, DC 20007","5,135 sqft",5,4,$5.70m
1773,"1433 R St Nw Apt 4, Washington, DC 20009","1,700 sqft",2,3,$1.30m
1774,"746 Irving St Nw, Washington, DC 20010",744 sqft,N/A,N/A,$560k
1775,"1725 17th St Nw Apt 507, Washington, DC 20009",450 sqft,1,N/A,$219k
1776,"925 Decatur St Nw, Washington, DC 20011","1,370 sqft",3.5,4,$725k
1777,"5405 5407 9th St Nw #108, Washington, DC 20011",630 sqft,1,1,$285k
1778,"3901 Connecticut Ave Nw Apt 200, Washington, DC 20008","1,154 sqft",1,1,$499k
1779,"2217 Minnesota Ave Se, Washington, DC 20020",0.09 acres,N/A,N/A,$700k
1780,"3 Washington Cir Nw Apt 102, Washington, DC 20037",900 sqft,1,1,$445k
1781,"3020 Gentain Ct Ne #3020, Washington, DC 20017","1,100 sqft",1.5,2,$329k
1782,"1301 20th St Nw Apt 306, Washington, DC 20036",562 sqft,1,1,$349k
1783,"300 M St Sw #n203, Washington, DC 20024",463 sqft,1,N/A,$245k
1784,"6645 Georgia Ave Nw Apt 206, Washington, DC 20012",351 sqft,1,N/A,$180k
1785,"742 50th St Ne, Washington, DC 20019",0.08 acres,N/A,N/A,$250k
1786,"3509 17th St Nw #6, Washington, DC 20010","1,063 sqft",2,2,$580k
1787,"2838 Hartford St Se Apt 303, Washington, DC 20020",795 sqft,1,2,$106k
1788,"1439 Morris Rd Se, Washington, DC 20020","2,304 sqft",4,7,$411k
1789,"3528 Highwood Dr Se, Washington, DC 20020","1,680 sqft",3.5,7,$625k
1790,"15 15th St Se, Washington, DC 20003","1,654 sqft",N/A,4,$245k
1791,"5144 S Dakota Ave Ne, Washington, DC 20017","1,647 sqft",2.5,3,$565k
1792,"4740 Connecticut Ave Nw Apt 806, Washington, DC 20008","1,250 sqft",2,2,$499k
1793,"700 New Hampshire Ave Nw #120, Washington, DC 20037","2,294 sqft",3,3,$1.10m
1794,"1430 3rd St Nw, Washington, DC 20001","1,020 sqft",2,3,$695k
1795,"3010 Wisconsin Ave Nw Apt 107, Washington, DC 20016",587 sqft,1,1,$295k
1796,"136 Sheridan St Ne, Washington, DC 20011","1,756 sqft",3.5,3,$800k
1797,"2475 Virginia Ave Nw #602-603, Washington, DC 20037","1,850 sqft",3,3,$799k
1798,"3925 Davis Pl Nw Apt B1, Washington, DC 20007",611 sqft,1,1,$259k
1799,"5403 Macarthur Blvd Nw, Washington, DC 20016","3,330 sqft",4,5,$1.28m
1800,"3001 Veazey Ter Nw Apt 908, Washington, DC 20008","1,330 sqft",2,2,$495k
1801,"1128 47th Pl Ne, Washington, DC 20019",0.06 acres,N/A,N/A,$220k
1802,"2801 New Mexico Ave Nw Apt 910, Washington, DC 20007","1,419 sqft",1.5,1,$599k
1803,"1649 Fort Dupont St Se, Washington, DC 20020","1,536 sqft",2,3,$260k
1804,"2425 L St Nw Apt 320, Washington, DC 20037",850 sqft,1,1,$649k
1805,"605 A St Se, Washington, DC 20003",0.03 acres,3,3,$950k
1806,"629 Columbia Rd Nw, Washington, DC 20001","1,122 sqft",3.5,4,$475k
1807,"3119 S Dakota Ave Ne, Washington, DC 20018","1,676 sqft",2,4,$499k
1808,"216 4th St Se, Washington, DC 20003","1,632 sqft",4,4,$1.50m
1809,"460 New York Ave Nw Unit 606, Washington, DC 20001",782 sqft,1,1,$515k
1810,"1413 P St Nw Apt 204, Washington, DC 20005","1,443 sqft",3,2,$1.25m
1811,"33 Kennedy St Nw Apt B2, Washington, DC 20011",473 sqft,1,N/A,$150k
1812,"1237 Franklin St Ne, Washington, DC 20017","2,586 sqft",2.5,4,$950k
1813,"Linnean Ave Nw, Washington, DC 20008",0.75 acres,N/A,N/A,$1.70m
1814,"1529 A St Se, Washington, DC 20003",0.01 acres,N/A,N/A,$250k
1815,"1935 12th St Nw Apt 1, Washington, DC 20009","1,626 sqft",2,2,$1.15m
1816,"631 D St Nw Apt 840, Washington, DC 20004","1,160 sqft",3,2,$655k
1817,"4041 7th St Ne Apt 1, Washington, DC 20017","1,500 sqft",4,4,$525k
1818,"2125 S St Nw Apt 1, Washington, DC 20008","1,213 sqft",2,2,$999k
1819,"4301 Massachusetts Ave Nw Apt 3007, Washington, DC 20016",945 sqft,1,1,$300k
1820,"912 F St Nw Apt 706, Washington, DC 20004","1,676 sqft",3,2,$1.19m
1821,"1025 1st St Se Apt 1007, Washington, DC 20003",678 sqft,1,N/A,$369k
1822,"1801 16th St Nw Apt 112, Washington, DC 20009","1,932 sqft",3,3,$1.50m
1823,"1321 Childress St Ne, Washington, DC 20002","2,148 sqft",3.5,4,$799k
1824,"602 H St Sw, Washington, DC 20024","2,460 sqft",3.5,3,$1.05m
1825,"4750 41st St Nw Apt 502, Washington, DC 20016","4,000 sqft",4,3,$2.70m
1826,"1526 17th St Nw Apt 117, Washington, DC 20036",432 sqft,1,N/A,$170k
1827,"1229 18th St Ne #201, Washington, DC 20002",778 sqft,1.5,2,$300k
1828,"1625 Rosedale St Ne, Washington, DC 20002","1,000 sqft",1,2,$505k
1829,"1914 8th St Nw, Washington, DC 20001","1,902 sqft",N/A,N/A,$1.58m
1830,"1819 1/2 Channing St Ne, Washington, DC 20018",436 sqft,1,1,$140k
1831,"2509 Foxhall Rd Nw, Washington, DC 20007","7,239 sqft",9,7,$16.00m
1832,"2318 Nicholson St Se, Washington, DC 20020",0.21 acres,N/A,N/A,$2.65m
1833,"4063 Grant St Ne Apt 1, Washington, DC 20019",600 sqft,2,4,$360k
1834,"2900 Rhode Island Ave Ne, Washington, DC 20018","6,135 sqft",8,20,$1.06m
1835,"1830 Jefferson Pl Nw Apt 1, Washington, DC 20036","1,220 sqft",2,2,$719k
1836,"3806 18th St Ne, Washington, DC 20018","1,320 sqft",2,3,$600k
1837,"3207 Adams Mill Rd Nw, Washington, DC 20010","2,718 sqft",4,5,$1.30m
1838,"113 5th St Ne, Washington, DC 20002","2,206 sqft",N/A,N/A,$1.46m
1839,"48344836 Sheriff Rd Ne, Washington, DC 20019","2,127 sqft",3,5,$399k
1840,"1320 13th St Nw Apt 33, Washington, DC 20005",720 sqft,2,1,$529k
1841,"2311 M St Nw Apt 802, Washington, DC 20037",794 sqft,1,1,$425k
1842,"2143 Suitland Ter Se Apt 201, Washington, DC 20020","5,672 sqft",1,2,$109k
1843,"1979 Biltmore St Nw, Washington, DC 20009","4,234 sqft",5,6,$1.28m
1844,"1538 Monroe St Nw Apt 3, Washington, DC 20010","1,100 sqft",1,2,$345k
1845,"1837 16th St Nw, Washington, DC 20009","3,250 sqft",3.5,5,$1.50m
1846,"2815 Woodland Dr Nw, Washington, DC 20008","10,897 sqft",7,4,$9.50m
1847,"2725 39th St Nw Apt 114, Washington, DC 20007",976 sqft,1,2,$385k
1848,"3010 Wisconsin Ave Nw Apt B10, Washington, DC 20016","1,049 sqft",2,2,$459k
1849,"4750 41st St Nw #th-4, Washington, DC 20016","2,334 sqft",2.5,3,$1.40m
1850,"2660 Connecticut Ave Nw #6f, Washington, DC 20008","3,292 sqft",3.5,3,$3.70m
1851,"4201 Cathedral Ave Nw Apt 512e, Washington, DC 20016",643 sqft,1,1,$223k
1852,"2710 Macomb St Nw Apt 207, Washington, DC 20008",400 sqft,1,N/A,$215k
1853,"2425 L St Nw Apt 504, Washington, DC 20037","1,478 sqft",2,2,$1.40m
1854,"3900 Watson Pl Nw #g1c-b, Washington, DC 20016","1,250 sqft",2,2,$400k
1855,"517 Q St Nw #2, Washington, DC 20001","1,880 sqft",3,3,$1.15m
1856,"517 Q St Nw #1, Washington, DC 20001","1,600 sqft",3,2,$900k
1857,"2328 Champlain St Nw Apt 202, Washington, DC 20009",584 sqft,1,1,$399k
1858,"1436 W St Nw Apt 204, Washington, DC 20009",600 sqft,1,1,$150k
1859,"2754 Unicorn Ln Nw, Washington, DC 20015","2,834 sqft",3,3,$899k
1860,"1330 New Hampshire Ave Nw Apt 201, Washington, DC 20036",735 sqft,1,1,$459k
1861,"800 4th St Sw Apt N423, Washington, DC 20024",447 sqft,1,N/A,$240k
1862,"713 Brandywine St Se Apt 301, Washington, DC 20032",700 sqft,1,2,$95k
1863,"2600 Branch Ave Se, Washington, DC 20020","1,967 sqft",4,5,$579k
1864,"2905 P St Nw, Washington, DC 20007","2,001 sqft",2.5,5,$1.60m
1865,"1245 4th St Sw Apt E803, Washington, DC 20024",836 sqft,1,1,$390k
1866,"4201 Cathedral Ave Nw Apt 301w, Washington, DC 20016","1,717 sqft",2,2,$530k
1867,"517 6th St Ne, Washington, DC 20002",0.04 acres,2,3,$899k
1868,"50th And Jay St Ne, Washington, DC 20019",0.11 acres,N/A,N/A,$125k
1869,"3008 16th St Ne, Washington, DC 20018",0.15 acres,3,5,$740k
1870,"1701 16th St Nw Apt 340, Washington, DC 20009",518 sqft,1,1,$339k
1871,"1363 Childress St Ne Apt 2, Washington, DC 20002",800 sqft,2,2,$339k
1872,"18 Girard St Ne, Washington, DC 20002",0.03 acres,3,3,$529k
1873,"1213 Emerson St Nw, Washington, DC 20011","2,258 sqft",4,4,$702k
1874,"2801 New Mexico Ave Nw Apt 1118, Washington, DC 20007","1,348 sqft",2,2,$750k
1875,"2105 Suitland Ter Se Unit B, Washington, DC 20020","1,225 sqft",1,2,$115k
1876,"1526 17th St Nw Apt 108, Washington, DC 20036",250 sqft,1,N/A,$120k
1877,"1414 29th St Nw, Washington, DC 20007","3,000 sqft",5,5,$2.00m
1878,"3618 Connecticut Ave Nw Apt 303, Washington, DC 20008",N/A,N/A,N/A,$279k
1879,"1212 Jefferson St Nw, Washington, DC 20011","2,160 sqft",4,3,$700k
1880,"1403 Ridgeview Way Nw, Washington, DC 20007","3,700 sqft",5,3,$1.93m
1881,"3915 7th St Ne, Washington, DC 20017","2,800 sqft",N/A,N/A,$750k
1882,"4301 Massachusetts Ave Nw Apt 8006, Washington, DC 20016",913 sqft,1,1,$320k
1883,"150 12th St Se, Washington, DC 20003","1,712 sqft",3,3,$1.14m
1884,"7070 Oregon Ave Nw, Washington, DC 20015","6,400 sqft",5.5,6,$1.98m
1885,"1721 Trinidad Ave Ne Apt 2, Washington, DC 20002",800 sqft,2,2,$349k
1886,"4800 8th St Nw, Washington, DC 20011","1,736 sqft",2.5,4,$610k
1887,"4444 Connecticut Ave Nw Apt 205, Washington, DC 20008",969 sqft,2,2,$450k
1888,"1464 Harvard St Nw Apt 5, Washington, DC 20009",602 sqft,1,1,$505k
1889,"169 V St Ne, Washington, DC 20002","1,080 sqft",1,3,$650k
1890,"2605 Adams Mill Rd Nw Apt 31, Washington, DC 20009","1,450 sqft",1,2,$650k
1891,"1811 Wyoming Ave Nw Apt 23, Washington, DC 20009","1,312 sqft",2,2,$745k
1892,"2116 Kearny St Ne, Washington, DC 20018","1,460 sqft",2,3,$750k
1893,"400 Massachusetts Ave Nw Apt 1222, Washington, DC 20001",988 sqft,1,1,$560k
1894,"1245 13th St Nw Apt 215, Washington, DC 20005",700 sqft,1,1,$375k
1895,"2660 Connecticut Ave Nw Unit 6d, Washington, DC 20008","3,123 sqft",3.5,3,$3.60m
1896,"1343 I St Ne, Washington, DC 20002","1,547 sqft",3,4,$575k
1897,"2125 Suitland Ter Se Apt 302, Washington, DC 20020",636 sqft,1,2,$127k
1898,"1357 Montague St Nw, Washington, DC 20011","1,901 sqft",1.5,3,$710k
1899,"1817 8th St Nw, Washington, DC 20001","1,462 sqft",1,3,$750k
1900,"3263 N St Nw, Washington, DC 20007","5,937 sqft",5.5,6,$5.85m
1901,"1306 Rhode Island Ave Nw Apt 1, Washington, DC 20005","1,334 sqft",2,2,$669k
1902,"3060 16th St Nw Apt 511, Washington, DC 20009",700 sqft,1,1,$375k
1903,"1300 Massachusetts Ave Nw Apt 203, Washington, DC 20005",650 sqft,1,1,$375k
1904,"1414 22nd St Nw Apt 34, Washington, DC 20037","1,416 sqft",2.5,2,$1.40m
1905,"1114 Monroe St Nw #2, Washington, DC 20010","1,620 sqft",3,2,$949k
1906,"1114 Monroe St Nw #1, Washington, DC 20010","1,620 sqft",3,3,$869k
1907,"4620 4th St Nw, Washington, DC 20011","1,887 sqft",3.5,3,$689k
1908,"2651 Birney Pl Se Apt 202, Washington, DC 20020",N/A,2,3,$245k
1909,"1330 New Hampshire Ave Nw Apt 318, Washington, DC 20036",760 sqft,1,1,$414k
1910,"2835 Wisconsin Ave Nw, Washington, DC 20007","4,795 sqft",7,5,$2.20m
1911,"2301 Champlain St Nw Apt 304, Washington, DC 20009",897 sqft,2,2,$699k
1912,"2020 12th St Nw Penthouse 818, Washington, DC 20009","1,718 sqft",2,2,$1.04m
1913,"3301 N St Nw, Washington, DC 20007","8,000 sqft",6,7,$7.99m
1914,"2127 California St Nw Apt 605, Washington, DC 20008","1,400 sqft",2,2,$1.13m
1915,"460 New York Ave Nw Unit 605, Washington, DC 20001",622 sqft,1,1,$449k
1916,"1000 New Jersey Ave Se Ph 10, Washington, DC 20003",975 sqft,2,2,$570k
1917,"506 49th Pl Ne, Washington, DC 20019","3,080 sqft",4,2,$500k
1918,"1347 Franklin St Ne, Washington, DC 20017","2,450 sqft",3.5,4,$1m
1919,"3109 Monroe St Ne, Washington, DC 20018","1,650 sqft",3,4,$800k
1920,"2440 16th St Nw Apt 301, Washington, DC 20009",911 sqft,2,2,$500k
1921,"3900 Watson Pl Nw Bldg A, Washington, DC 20016","2,200 sqft",3,3,$1.10m
1922,"2828 Wisconsin Ave Nw Apt 500, Washington, DC 20007","1,500 sqft",2.5,3,$929k
1923,"628 50th St Ne, Washington, DC 20019","1,509 sqft",2.5,3,$370k
1924,"3401 22nd St Ne, Washington, DC 20018","1,935 sqft",4.5,3,$600k
1925,"1300 13th St Nw Apt 105, Washington, DC 20005","1,047 sqft",2,1,$699k
1926,"4123 22nd St Ne, Washington, DC 20018","1,971 sqft",3.5,4,$725k
1927,"300 Oklahoma Ave Ne Apt 101, Washington, DC 20002",512 sqft,1,1,$239k
1928,"1343 Constitution Ave Ne, Washington, DC 20002","1,266 sqft",2,3,$760k
